x_c,Cp_upper,Cp_lower
1e-06,-86.72319882870426,52.90307151765458
0.0003953013863490784,-17.652849076352496,-10.631552298531961
0.0015805804926520839,-6.679740475393412,-3.1704803994602746
0.003553963149013295,-4.173329860849813,-1.8353660389232045
0.006312329031833319,-3.032490361579642,-1.2806380480399469
0.009851316597681903,-2.371314258518867,-0.9714999658948531
0.014165329979794972,-1.9369474924265702,-0.772134917764261
0.01924754783628979,-1.6283146183726271,-0.6316263369119908
0.02508993413610866,-1.3967666488314694,-0.5264047495951094
0.03168325086563606,-1.2159061545520846,-0.4440058566477336
0.039017072635896655,-1.0701476579850937,-0.37720411926342184
0.04707980316723842,-0.9496920543875349,-0.321520449416875
0.05585869362543405,-0.8480711747852898,-0.27403340754501876
0.06533986278020876,-0.7608470643325238,-0.23276051504242234
0.07550831895431803,-0.6848775196469107,-0.1963135254423339
0.08634798372847136,-0.6178792867717072,-0.16369546273769572
0.09784171736461761,-0.5581568437218322,-0.13417555420105223
0.10997134590739394,-0.5044277433111404,-0.10720914108394644
0.12271768992088494,-0.45570656059530606,-0.08238467135444189
0.13606059481525296,-0.41122565229152186,-0.05938759541653241
0.14997896271528732,-0.3703797419596371,-0.03797514674571234
0.16445078582048162,-0.3326863381597016,-0.017958328272227514
0.17945318120388998,-0.2977569244282613,0.0008112116168131622
0.19496242699473781,-0.26527563459521475,0.01845090969835203
0.21095399988757585,-0.23498323086431006,0.035054614243259063
0.22740261391866617,-0.20666490559599424,0.050698174542473134
0.244282260448289,-0.18014088594694988,0.06544375261604486
0.261566249285747,-0.15525912487855675,0.0793431782104429
0.27922725089204403,-0.1318895678251833,0.09244057537709587
0.29723733959350307,-0.10991962569581079,0.1047744254503171
0.3155680377379961,-0.08925058344877017,0.11637918721190947
0.33419036072396613,-0.06979474311352114,0.1272865640981567
0.35307486283103956,-0.05147314992626313,0.13752648632950054
0.37219168377976264,-0.034213786246390515,0.14712786007384662
0.391510595946841,-0.017950144214628413,0.15611912433624547
0.41100105216122484,-0.0026201074997769247,0.16452864793206023
0.43063223400546596,0.011834913098296748,0.17238499276785124
0.45037310054596924,0.025470634601917355,0.179717065106211
0.47019243741509004,0.0383403835891173,0.18655417308869315
0.49005890616746495,0.05049543467803903,0.19292600621945072
0.509941093832535,0.061985230909618716,0.19886255054237068
0.52980756258491,0.07285750741365796,0.20439395170924854
0.5496268994540309,0.08315833676933887,0.20955033691229624
0.5693677659945341,0.09293211208321303,0.21436160564980092
0.5889989478387752,0.10222148185486825,0.21885719844146034
0.608489404053159,0.11106724906921168,0.2230658518590634
0.6278083162202375,0.11950824555996484,0.2270153475519782
0.6469251371689605,0.12758119146779903,0.23073226229825847
0.665809639276034,0.13532054852069908,0.2342417254814847
0.684431962262004,0.14275837485860174,0.23756718976760585
0.7027626604064969,0.1499241881834732,0.24073022012648249
0.720772749107956,0.15684484312149508,0.2437503057046941
0.7384337507142531,0.16354442782339412,0.24664469840749598
0.7557177395517111,0.1700441839946005,0.24942828138939158
0.7725973860813338,0.17636245373457368,0.25211346998702255
0.7890460001124242,0.1825146557725539,0.2547101469585517
0.8050375730052621,0.18851329291641003,0.2572256332259501
0.82054681879611,0.19436799178410755,0.25966469465599784
0.8355492141795184,0.20008557516760372,0.26202958476916305
0.8500210372847126,0.20567016669085045,0.2643201226392713
0.8639394051847471,0.2111233267723407,0.26653380464817844
0.8772823100791152,0.21644421829331362,0.2686659481950687
0.8900286540926061,0.22162979981110156,0.2707098649365477
0.9021582826353824,0.22667504364772809,0.27265706065698064
0.9136520162715287,0.23157317573233918,0.2744974584449913
0.924491681045682,0.23631593368644307,0.2762196414864615
0.9346601372197912,0.24089383931650737,0.27781111148061927
0.944141306374566,0.24529648142368174,0.27925855844881453
0.9529201968327616,0.24951280465597203,0.2805481375364831
0.9609829273641034,0.2535314000166566,0.281665748310479
0.9683167491343639,0.25734079260416937,0.2825973120267919
0.9749100658638914,0.2609297221922957,0.28332904238709555
0.9807524521637103,0.26428741236511333,0.28384770541659665
0.985834670020205,0.2674038240948052,0.2841408642765712
0.9901486834023181,0.2702698898895746,0.2841971050702427
0.9936876709681668,0.2728777249409841,0.28400624000796354
0.9964460368509866,0.275220812055486,0.2835594846574787
0.9984194195073479,0.2772941575643407,0.28284960641808954
0.9996046986136509,0.27909441585746153,0.28187104181179157
0.999999999,0.28054911797432097,0.28055353334682337
