x_c,Cp_upper,Cp_lower
1e-06,44.448039689892155,-95.17823065646668
0.0003953013863490784,-17.702652642253078,-24.72394942007361
0.0015805804926520839,-5.633035618173695,-9.142295694106833
0.003553963149013295,-3.337540013866459,-5.675503835793068
0.006312329031833319,-2.3589201504448427,-4.110772463984538
0.009851316597681903,-1.8072035219982823,-3.2070178146222963
0.014165329979794972,-1.4494055203119705,-2.6142180949742797
0.01924754783628979,-1.1966115757331466,-2.193299857193783
0.02508993413610866,-1.0071975992017532,-1.8775594984381132
0.03168325086563606,-0.8589838594476882,-1.6308841573520392
0.039017072635896655,-0.7390420635755521,-1.431985602297224
0.04707980316723842,-0.6393235753679767,-1.2674951803386365
0.05585869362543405,-0.5545595531275951,-1.128597320367866
0.06533986278020876,-0.4811624098861609,-1.0092489591762623
0.07550831895431803,-0.41661128671464487,-0.9051752809192216
0.08634798372847136,-0.3590891501150465,-0.813272974149058
0.09784171736461761,-0.30725865368177285,-0.7312399432025528
0.10997134590739394,-0.26011836218271744,-0.6573369644099114
0.12271768992088494,-0.21690747934187932,-0.5902293685827436
0.13606059481525296,-0.17704090734354663,-0.5288789642185361
0.14997896271528732,-0.14006386892204858,-0.4724684641359733
0.16445078582048162,-0.1056194948802098,-0.4203475047676839
0.17945318120388998,-0.0734252165860502,-0.37199335263112465
0.19496242699473781,-0.0432552715258632,-0.32698181581943
0.21095399988757585,-0.014927539912004573,-0.2849653850195737
0.22740261391866617,0.011706491779092859,-0.2456565883593745
0.244282260448289,0.03676946928331905,-0.2088151692796757
0.261566249285747,0.06036419154341288,-0.17423811154558677
0.27922725089204403,0.08257832726507379,-0.14175181593720537
0.29723733959350307,0.10348812538894367,-0.11120592575718422
0.3155680377379961,0.12316133815269452,-0.08246843250798512
0.33419036072396613,0.14165951934431692,-0.05542178786736092
0.35307486283103956,0.15903982043031034,-0.02995981582545333
0.37219168377976264,0.1753563785307111,-0.005985267789526044
0.391510595946841,0.19066136936664996,0.01659210081577607
0.41100105216122484,0.20500578304013217,0.03785702760829501
0.43063223400546596,0.21843996923438846,0.05788988956483397
0.45037310054596924,0.23101399003324263,0.076767559528949
0.47019243741509004,0.24277781225814576,0.09456402275856991
0.49005890616746495,0.2537813664438234,0.11135079490241169
0.509941093832535,0.264074495905368,0.12719717627261606
0.52980756258491,0.27370681648997475,0.14217037219438414
0.5496268994540309,0.2827275053327057,0.15633550518974831
0.5693677659945341,0.29118503508305443,0.16975554151646652
0.5889989478387752,0.29912686851554315,0.18249115192895105
0.608489404053159,0.3065991270911335,0.19460052430128177
0.6278083162202375,0.3136462458299639,0.2061391438379506
0.6469251371689605,0.32031062573977265,0.21715955490931318
0.665809639276034,0.32663229398203,0.22771111702124436
0.684431962262004,0.33264858092415767,0.23783976601515353
0.7027626604064969,0.3383938222039704,0.24758779026096112
0.720772749107956,0.3438990929112409,0.2569936303280418
0.7384337507142531,0.34919197996521817,0.2660917093811163
0.7557177395517111,0.3542963977353902,0.27491230034059905
0.7725973860813338,0.35923245091742173,0.2834814346649729
0.7890460001124242,0.36401634764132823,0.29182085645533046
0.8050375730052621,0.36866036476154024,0.29994802445200014
0.82054681879611,0.3731728662660244,0.30787616339413415
0.8355492141795184,0.37755837475335474,0.3156143651517954
0.8500210372847126,0.3818176949718013,0.3231677390233805
0.8639394051847471,0.38594808750330856,0.3305376096274708
0.8772823100791152,0.3899434898171642,0.3377217599154091
0.8900286540926061,0.39379478112346,0.34471471599801384
0.9021582826353824,0.3974900867331583,0.35150806972390575
0.9136520162715287,0.4010151169893241,0.358090834276672
0.924491681045682,0.40435353527968787,0.3644498274796695
0.9346601372197912,0.4074873491799013,0.3705700770157894
0.944141306374566,0.4103973184169383,0.3764352413918055
0.9529201968327616,0.41306337308459684,0.38202804020408576
0.9609829273641034,0.41546503539226315,0.3873306870984407
0.9683167491343639,0.4175818381845325,0.39232531876190996
0.9749100658638914,0.4193937335319432,0.39699441333714336
0.9807524521637103,0.4208814848620239,0.4013211918105406
0.985834670020205,0.422027036369415,0.405289996187649
0.9901486834023181,0.42281385381019704,0.40888663862952895
0.9936876709681668,0.4232272312452005,0.4120987161782211
0.9964460368509866,0.42325455883572005,0.4149158862337273
0.9984194195073479,0.4228855474136973,0.4173300985599485
0.9996046986136509,0.4221124062291053,0.41933578027477525
0.999999999,0.42082919617710945,0.42082478080460706
